"UbigeoDep","Departamento","conteoIE"
"010000","AMAZONAS",3076
"020000","ANCASH",5401
"030000","APURIMAC",2819
"040000","AREQUIPA",5038
"050000","AYACUCHO",3942
"060000","CAJAMARCA",9393
"070000","CALLAO",1953
"080000","CUSCO",5947
"090000","HUANCAVELICA",3212
"100000","HUANUCO",4366
"110000","ICA",2425
"120000","JUNIN",6017
"130000","LA LIBERTAD",6210
"140000","LAMBAYEQUE",3617
"150000","LIMA",20574
"160000","LORETO",5306
"170000","MADRE DE DIOS",592
"180000","MOQUEGUA",745
"190000","PASCO",1845
"200000","PIURA",6869
"210000","PUNO",6645
"220000","SAN MARTIN",3467
"230000","TACNA",1177
"240000","TUMBES",908
"250000","UCAYALI",2282
